1300AA,0,10000,Postbus,Almere
1300AB,0,10000,Postbus,Almere
1300AC,0,10000,Postbus,Almere
1300AD,0,10000,Postbus,Almere
1300AE,0,10000,Postbus,Almere
1300BA,0,10000,Postbus,Almere
1300BB,0,10000,Postbus,Almere
1300BC,0,10000,Postbus,Almere
1300BD,0,10000,Postbus,Almere
1300BE,0,10000,Postbus,Almere
1300BG,0,10000,Postbus,Almere
1300BH,0,10000,Postbus,Almere
1300BJ,0,10000,Postbus,Almere
1300BK,0,10000,Postbus,Almere
1300BL,0,10000,Postbus,Almere
1300BM,0,10000,Postbus,Almere
1300BN,0,10000,Postbus,Almere
1300BP,0,10000,Postbus,Almere
1300EA,0,10000,Postbus,Almere
1300EB,0,10000,Postbus,Almere
1300EG,0,10000,Postbus,Almere
1300EH,0,10000,Postbus,Almere
1300EJ,0,10000,Postbus,Almere
1300EL,0,10000,Postbus,Almere
1300EM,0,10000,Postbus,Almere
1300NA,0,10000,Postbus,Almere
1301AA,0,10000,Postbus,Almere
1301AB,0,10000,Postbus,Almere
1301AC,0,10000,Postbus,Almere
1301AD,0,10000,Postbus,Almere
1301AE,0,10000,Postbus,Almere
1301AG,0,10000,Postbus,Almere
1301AH,0,10000,Postbus,Almere
1302CA,0,10000,Postbus,Almere
1302CB,0,10000,Postbus,Almere
1302CC,0,10000,Postbus,Almere
1302CD,0,10000,Postbus,Almere
1302GA,0,10000,Postbus,Almere
1303AA,0,10000,Postbus,Almere
1303AB,0,10000,Postbus,Almere
1303AC,0,10000,Postbus,Almere
1303AD,0,10000,Postbus,Almere
1303AE,0,10000,Postbus,Almere
1303AG,0,10000,Postbus,Almere
1303AH,0,10000,Postbus,Almere
1303AJ,0,10000,Postbus,Almere
1305AA,0,10000,Postbus,Almere
1305AB,0,10000,Postbus,Almere
1305AC,0,10000,Postbus,Almere
1305AD,0,10000,Postbus,Almere
1305AE,0,10000,Postbus,Almere
1305AG,0,10000,Postbus,Almere
1305AH,0,10000,Postbus,Almere
1305AJ,0,10000,Postbus,Almere
1320AA,0,10000,Postbus,Almere
1320AB,0,10000,Postbus,Almere
1320AC,0,10000,Postbus,Almere
1320AE,0,10000,Postbus,Almere
1320AG,0,10000,Postbus,Almere
1320AH,0,10000,Postbus,Almere
1320AJ,0,10000,Postbus,Almere
